step,equity,strategy_return
0,10000.0,0.0
1,10000.0,0.0
2,10000.0,0.0
3,10000.0,0.0
4,10000.0,0.0
5,10000.0,0.0
6,10000.0,0.0
7,10000.0,0.0
8,10000.0,0.0
9,10000.0,0.0
10,10000.0,0.0
11,10000.0,0.0
12,10000.0,0.0
13,10000.0,0.0
14,10000.0,0.0
15,10000.0,0.0
16,10000.0,0.0
17,10000.0,0.0
18,10000.0,0.0
19,10000.0,0.0
20,10000.0,0.0
21,10000.0,0.0
22,10000.0,0.0
23,10000.0,0.0
24,10000.0,0.0
25,10000.0,0.0
26,10000.0,0.0
27,10000.0,0.0
28,10000.0,0.0
29,10000.0,0.0
30,10000.0,0.0
31,10000.0,0.0
32,10000.0,0.0
33,10000.0,0.0
34,10000.0,0.0
35,10000.0,0.0
36,10000.0,0.0
37,10000.0,0.0
38,10000.0,0.0
39,10000.0,0.0
40,10000.0,0.0
41,10000.0,0.0
42,10000.0,0.0
43,10000.0,0.0
44,10000.0,0.0
45,10000.0,0.0
46,10000.0,0.0
47,10000.0,0.0
48,10000.0,0.0
49,10000.0,0.0
50,10000.0,0.0
51,10000.0,0.0
52,10000.0,0.0
53,10000.0,0.0
54,10000.0,0.0
55,10000.0,0.0
56,10000.0,0.0
57,10000.0,0.0
58,10000.0,0.0
59,10000.0,0.0
60,10000.0,0.0
61,10000.0,0.0
62,10000.0,0.0
63,10000.0,0.0
64,10000.0,0.0
65,10000.0,0.0
66,10000.0,0.0
67,10000.0,0.0
68,10000.0,0.0
69,10000.0,0.0
70,10000.0,0.0
71,10000.0,0.0
72,10000.0,0.0
73,10000.0,0.0
74,10000.0,0.0
75,10000.0,0.0
76,10000.0,0.0
77,10000.0,0.0
78,10000.0,0.0
79,10000.0,0.0
80,10000.0,0.0
81,10000.0,0.0
82,10000.0,0.0
83,10000.0,0.0
84,10000.0,0.0
85,10000.0,0.0
86,10000.0,0.0
87,10000.0,0.0
88,10000.0,0.0
89,10000.0,0.0
90,10000.0,0.0
91,10000.0,0.0
92,10000.0,0.0
93,10000.0,0.0
94,10000.0,0.0
95,10000.0,0.0
96,10000.0,0.0
97,10000.0,0.0
98,10000.0,0.0
99,10000.0,0.0
100,10000.0,0.0
101,10000.0,0.0
102,10000.0,0.0
103,10000.0,0.0
104,10000.0,0.0
105,10000.0,0.0
106,10000.0,0.0
107,10000.0,0.0
108,10000.0,0.0
109,10000.0,0.0
110,10000.0,0.0
111,10000.0,0.0
112,10000.0,0.0
113,10000.0,0.0
114,10000.0,0.0
115,10000.0,0.0
116,10000.0,0.0
117,10000.0,0.0
118,10000.0,0.0
119,10000.0,0.0
120,10000.0,0.0
121,10000.0,0.0
122,10000.0,0.0
123,10000.0,0.0
124,10000.0,0.0
125,10000.0,0.0
126,10000.0,0.0
127,9939.90613,-0.006009387
128,9939.90613,0.0
129,9939.90613,0.0
130,9939.90613,0.0
131,9939.90613,0.0
132,9939.90613,0.0
133,9939.90613,0.0
134,9939.90613,0.0
135,9939.90613,0.0
136,9939.90613,0.0
137,9939.90613,0.0
138,9939.90613,0.0
139,9939.90613,0.0
140,9939.90613,0.0
141,9939.90613,0.0
142,9939.90613,0.0
143,9939.90613,0.0
144,9939.90613,0.0
145,9939.90613,0.0
146,9939.90613,0.0
147,9939.90613,0.0
148,9939.90613,0.0
149,9939.90613,0.0
150,9939.90613,0.0
151,9939.90613,0.0
152,9939.90613,0.0
153,9939.90613,0.0
154,9939.90613,0.0
155,9939.90613,0.0
156,9939.90613,0.0
157,9939.90613,0.0
158,9939.90613,0.0
159,9939.90613,0.0
160,9939.90613,0.0
161,9939.90613,0.0
162,9939.90613,0.0
163,9939.90613,0.0
164,9939.90613,0.0
165,9939.90613,0.0
166,9939.90613,0.0
167,9939.90613,0.0
168,9939.90613,0.0
169,9939.90613,0.0
170,9939.90613,0.0
171,9939.90613,0.0
172,9939.90613,0.0
173,9939.90613,0.0
174,9939.90613,0.0
175,9939.90613,0.0
176,9939.90613,0.0
177,9939.90613,0.0
178,9939.90613,0.0
179,9939.90613,0.0
180,9939.90613,0.0
181,9939.90613,0.0
182,9939.90613,0.0
183,9939.90613,0.0
184,9939.90613,0.0
185,9939.90613,0.0
186,9939.90613,0.0
187,9939.90613,0.0
188,9939.90613,0.0
189,9939.90613,0.0
190,9939.90613,0.0
191,9939.90613,0.0
192,9939.90613,0.0
193,9939.90613,0.0
194,9939.90613,0.0
195,9939.90613,0.0
196,9939.90613,0.0
197,9939.90613,0.0
198,9939.90613,0.0
199,9939.90613,0.0
200,9939.90613,0.0
201,9939.90613,0.0
202,9939.90613,0.0
203,9939.90613,0.0
204,9939.90613,0.0
205,9939.90613,0.0
206,9939.90613,0.0
207,9939.90613,0.0
208,9939.90613,0.0
209,9939.90613,0.0
210,9939.90613,0.0
211,9939.90613,0.0
212,9939.90613,0.0
213,9939.90613,0.0
214,9939.90613,0.0
215,9939.90613,0.0
216,9939.90613,0.0
217,9939.90613,0.0
218,9939.90613,0.0
219,9939.90613,0.0
220,9939.90613,0.0
221,9939.90613,0.0
222,9939.90613,0.0
223,9939.90613,0.0
224,9939.90613,0.0
225,9939.90613,0.0
226,9939.90613,0.0
227,9939.90613,0.0
228,9939.90613,0.0
229,9939.90613,0.0
230,9939.90613,0.0
231,9939.90613,0.0
232,9939.90613,0.0
233,9939.90613,0.0
234,9939.90613,0.0
235,9939.90613,0.0
236,9939.90613,0.0
237,9939.90613,0.0
238,9939.90613,0.0
239,9939.90613,0.0
240,9939.90613,0.0
241,9939.90613,0.0
242,9939.90613,0.0
243,9939.90613,0.0
244,9939.90613,0.0
245,9939.90613,0.0
246,9939.90613,0.0
247,9939.90613,0.0
248,9939.90613,0.0
249,9939.90613,0.0
250,9939.90613,0.0
251,9939.90613,0.0
252,9939.90613,0.0
253,9939.90613,0.0
254,9939.90613,0.0
255,9939.90613,0.0
256,9939.90613,0.0
257,9939.90613,0.0
258,9939.90613,0.0
259,9939.90613,0.0
260,9939.90613,0.0
261,9939.90613,0.0
262,9939.90613,0.0
263,9939.90613,0.0
264,9939.90613,0.0
265,9939.90613,0.0
266,9939.90613,0.0
267,9939.90613,0.0
268,9939.90613,0.0
269,9939.90613,0.0
270,9939.90613,0.0
271,9939.90613,0.0
272,9939.90613,0.0
273,9939.90613,0.0
274,9939.90613,0.0
275,9939.90613,0.0
276,9939.90613,0.0
277,9939.90613,0.0
278,9939.90613,0.0
279,9939.90613,0.0
280,9939.90613,0.0
281,9939.90613,0.0
282,9939.90613,0.0
283,9939.90613,0.0
284,9939.90613,0.0
285,9939.90613,0.0
286,9939.90613,0.0
287,9939.90613,0.0
288,9939.90613,0.0
289,9939.90613,0.0
290,9939.90613,0.0
291,9939.90613,0.0
292,9939.90613,0.0
293,9939.90613,0.0
294,9939.90613,0.0
295,9939.90613,0.0
296,9939.90613,0.0
297,9939.90613,0.0
298,9939.90613,0.0
299,9939.90613,0.0
300,9939.90613,0.0
301,9939.90613,0.0
302,9939.90613,0.0
303,9939.90613,0.0
304,9939.90613,0.0
305,9939.90613,0.0
306,9939.90613,0.0
307,9939.90613,0.0
308,9939.90613,0.0
309,9939.90613,0.0
310,9939.90613,0.0
311,9939.90613,0.0
312,9939.90613,0.0
